state_norm,district_norm,age_0_5,age_5_17,age_18_greater
andaman and nicobar islands,nicobar,33,5,0
andaman and nicobar islands,north and middle andaman,48,1,0
andaman and nicobar islands,south andaman,52,4,0
andaman nicobar islands,andamans,13,2,0
andaman nicobar islands,nicobars,1,0,0
andaman nicobar islands,south andaman,14,0,0
andhra pradesh,adilabad,473,105,0
andhra pradesh,alluri sitharama raju,299,45,14
andhra pradesh,anakapalli,141,1,1
andhra pradesh,anantapur,1270,114,0
andhra pradesh,ananthapur,482,46,0
andhra pradesh,ananthapuramu,830,39,5
andhra pradesh,annamayya,264,10,42
andhra pradesh,bapatla,121,13,6
andhra pradesh,chittoor,2270,217,11
andhra pradesh,cuddapah,1702,144,1
andhra pradesh,dr b r ambedkar konaseema,190,10,8
andhra pradesh,east godavari,2274,158,5
andhra pradesh,eluru,184,15,5
andhra pradesh,guntur,2478,310,9
andhra pradesh,hyderabad,1201,347,0
andhra pradesh,k v rangareddy,25,4,0
andhra pradesh,kakinada,251,30,12
andhra pradesh,karim nagar,25,3,0
andhra pradesh,karimnagar,210,48,0
andhra pradesh,khammam,329,125,0
andhra pradesh,krishna,1996,200,14
andhra pradesh,kurnool,3335,313,8
andhra pradesh,mahabub nagar,406,158,0
andhra pradesh,mahabubnagar,2,0,0
andhra pradesh,mahbubnagar,193,67,0
andhra pradesh,medak,426,79,0
andhra pradesh,n t r,230,35,17
andhra pradesh,nalgonda,346,96,0
andhra pradesh,nandyal,261,13,3
andhra pradesh,nellore,1476,268,1
andhra pradesh,nizamabad,150,31,0
andhra pradesh,palnadu,204,33,10
andhra pradesh,parvathipuram manyam,143,13,1
andhra pradesh,prakasam,2185,539,51
andhra pradesh,rangareddi,492,145,0
andhra pradesh,spsr nellore,1124,669,274
andhra pradesh,sri potti sriramulu nellore,228,219,125
andhra pradesh,sri sathya sai,235,11,3
andhra pradesh,srikakulam,1383,43,4
andhra pradesh,tirupati,219,174,65
andhra pradesh,visakhapatanam,186,28,12
andhra pradesh,visakhapatnam,2217,162,8
andhra pradesh,vizianagaram,1141,51,1
andhra pradesh,warangal,327,80,0
andhra pradesh,west godavari,1723,98,4
andhra pradesh,y s r,236,24,12
arunachal pradesh,anjaw,14,3,0
arunachal pradesh,changlang,286,126,3
arunachal pradesh,dibang valley,2,1,0
arunachal pradesh,east kameng,36,27,1
arunachal pradesh,east siang,32,26,0
arunachal pradesh,kamle,2,15,0
arunachal pradesh,kra daadi,6,14,0
arunachal pradesh,kurung kumey,10,15,0
arunachal pradesh,leparada,0,1,0
arunachal pradesh,lohit,23,23,0
arunachal pradesh,longding,81,532,37
arunachal pradesh,lower dibang valley,12,19,0
arunachal pradesh,lower siang,8,9,0
arunachal pradesh,lower subansiri,24,22,0
arunachal pradesh,namsai,27,22,0
arunachal pradesh,papum pare,76,78,0
arunachal pradesh,shi yomi,6,10,0
