date,state,district,age_0_5,age_5_17,age_18_greater
2025-01-04,assam,baksa,408,483,187
2025-01-04,assam,barpeta,138,54,23
2025-01-04,assam,biswanath,104,114,32
2025-01-04,assam,bongaigaon,221,87,61
2025-01-04,assam,cachar,988,461,299
2025-01-04,assam,charaideo,91,50,164
2025-01-04,assam,chirang,189,199,179
2025-01-04,assam,darrang,654,340,270
2025-01-04,assam,dhemaji,179,176,52
2025-01-04,assam,dhubri,998,654,80
2025-01-04,assam,dibrugarh,179,149,186
2025-01-04,assam,goalpara,587,294,283
2025-01-04,assam,golaghat,568,501,144
2025-01-04,assam,hailakandi,242,143,78
2025-01-04,assam,hojai,763,253,100
2025-01-04,assam,jorhat,210,156,154
2025-01-04,assam,kamrup,741,404,179
2025-01-04,assam,kamrup metro,276,396,213
2025-01-04,assam,karbi anglong,543,1030,323
2025-01-04,assam,karimganj,508,426,91
2025-01-04,assam,kokrajhar,301,238,25
2025-01-04,assam,lakhimpur,400,221,93
2025-01-04,assam,marigaon,540,457,96
2025-01-04,assam,nagaon,504,236,36
2025-01-04,assam,nalbari,55,49,77
2025-01-04,assam,north cachar hills,130,179,99
2025-01-04,assam,sibsagar,220,83,276
2025-01-04,assam,sonitpur,138,169,65
2025-01-04,assam,south salmara mankachar,176,102,30
2025-01-04,assam,tinsukia,339,391,261
2025-01-04,assam,udalguri,447,364,319
2025-01-04,assam,west karbi anglong,94,344,45
2025-01-04,bihar,bhagalpur,678,534,26
2025-01-04,bihar,east champaran,1528,2371,153
2025-01-04,bihar,gaya,437,1371,54
2025-01-04,bihar,jamui,1015,647,30
2025-01-04,bihar,jehanabad,78,292,48
2025-01-04,bihar,kaimur (bhabua),146,199,12
2025-01-04,bihar,madhubani,388,485,60
2025-01-04,bihar,munger,191,278,22
2025-01-04,bihar,muzaffarpur,1159,865,65
2025-01-04,bihar,patna,723,2303,373
2025-01-04,bihar,purnia,517,276,21
2025-01-04,bihar,saran,143,174,10
2025-01-04,bihar,sitamarhi,2452,1625,487
2025-01-04,bihar,vaishali,270,217,10
2025-01-04,bihar,west champaran,2826,3724,159
2025-01-04,chandigarh,chandigarh,86,21,10
2025-01-04,chhattisgarh,bijapur,397,135,126
2025-01-04,chhattisgarh,durg,336,38,10
2025-01-04,chhattisgarh,raipur,299,12,11
2025-01-04,chhattisgarh,sukma,267,69,45
2025-01-04,delhi,central delhi,80,41,12
2025-01-04,delhi,east delhi,676,221,15
2025-01-04,delhi,north west delhi,903,349,54
2025-01-04,delhi,shahdara,208,98,13
2025-01-04,delhi,south delhi,404,137,22
2025-01-04,delhi,south west delhi,558,209,58
2025-01-04,delhi,west delhi,1249,440,183
2025-01-04,gujarat,ahmedabad,77,26,19
2025-01-04,gujarat,amreli,174,21,43
2025-01-04,gujarat,anand,136,30,75
2025-01-04,gujarat,arvalli,144,32,30
2025-01-04,gujarat,banaskantha,1685,1358,1001
2025-01-04,gujarat,bharuch,138,50,23
2025-01-04,gujarat,bhavnagar,567,36,25
2025-01-04,gujarat,botad,291,21,20
2025-01-04,gujarat,chhotaudepur,242,121,119
2025-01-04,gujarat,dahod,855,782,434
2025-01-04,gujarat,devbhumi dwarka,186,44,54
2025-01-04,gujarat,gandhinagar,495,138,156
2025-01-04,gujarat,gir somnath,1262,265,179
2025-01-04,gujarat,jamnagar,240,43,33
2025-01-04,gujarat,junagadh,250,27,12
2025-01-04,gujarat,kachchh,587,242,78
2025-01-04,gujarat,kheda,425,80,150
2025-01-04,gujarat,mahesana,433,55,65
2025-01-04,gujarat,mahisagar,110,12,16
2025-01-04,gujarat,morbi,818,178,175
2025-01-04,gujarat,navsari,133,10,33
2025-01-04,gujarat,panchmahals,574,145,183
2025-01-04,gujarat,patan,800,173,225
2025-01-04,gujarat,porbandar,267,38,44
2025-01-04,gujarat,rajkot,1398,338,231
2025-01-04,gujarat,sabarkantha,389,197,110
2025-01-04,gujarat,surat,2932,976,280
2025-01-04,gujarat,surendra nagar,436,159,91
2025-01-04,gujarat,tapi,68,12,13
2025-01-04,gujarat,the dangs,85,13,22
2025-01-04,gujarat,vadodara,788,216,180
2025-01-04,gujarat,valsad,618,186,100
2025-01-04,haryana,faridabad,1291,290,25
2025-01-04,haryana,gurgaon,494,192,36
2025-01-04,jammu and kashmir,punch,142,59,10
2025-01-04,jharkhand,deoghar,371,342,10
2025-01-04,jharkhand,dumka,34,32,23
2025-01-04,jharkhand,east singhbhum,55,54,11
2025-01-04,jharkhand,godda,79,46,11
2025-01-04,jharkhand,hazaribagh,169,65,14
2025-01-04,jharkhand,lohardaga,187,104,17
2025-01-04,jharkhand,pakur,579,372,11
2025-01-04,jharkhand,ranchi,552,481,87
2025-01-04,karnataka,bengaluru,5774,1026,1047
2025-01-04,karnataka,kalaburagi,560,31,17
2025-01-04,karnataka,mysuru,456,19,10
2025-01-04,karnataka,yadgir,536,89,21
