state_norm,district,month,bio_age_5_17,bio_age_17_
andaman and nicobar islands,nicobars,March 2025,178,101
andaman and nicobar islands,north and middle andaman,March 2025,470,347
andaman and nicobar islands,south andamans,March 2025,948,450
andhra pradesh,alluri sitharama raju,March 2025,585,1408
andhra pradesh,anakapalli,March 2025,218,234
andhra pradesh,ananthapuramu,March 2025,25785,4302
andhra pradesh,annamayya,March 2025,235,270
andhra pradesh,bapatla,March 2025,114,131
andhra pradesh,chittoor,March 2025,18773,9414
andhra pradesh,dr b r ambedkar konaseema,March 2025,116,181
andhra pradesh,east godavari,March 2025,18286,11512
andhra pradesh,eluru,March 2025,171,308
andhra pradesh,guntur,March 2025,19655,11604
andhra pradesh,kakinada,March 2025,203,317
andhra pradesh,krishna,March 2025,16816,9887
andhra pradesh,kurnool,March 2025,27662,10576
andhra pradesh,nandyal,March 2025,283,280
andhra pradesh,ntr,March 2025,0,0
andhra pradesh,palnadu,March 2025,293,311
andhra pradesh,parvathipuram manyam,March 2025,362,487
andhra pradesh,prakasam,March 2025,11991,7242
andhra pradesh,sri potti sriramulu nellore,March 2025,110,172
andhra pradesh,sri sathya sai,March 2025,738,463
andhra pradesh,srikakulam,March 2025,22984,6997
andhra pradesh,tirupati,March 2025,268,382
andhra pradesh,visakhapatnam,March 2025,21850,15143
andhra pradesh,vizianagaram,March 2025,11966,6473
andhra pradesh,west godavari,March 2025,15662,9674
andhra pradesh,y s r kadapa,March 2025,0,0
arunachal pradesh,anjaw,March 2025,55,79
arunachal pradesh,bichom,March 2025,0,0
arunachal pradesh,changlang,March 2025,483,339
arunachal pradesh,dibang valley,March 2025,15,41
arunachal pradesh,east kameng,March 2025,189,244
arunachal pradesh,east siang,March 2025,134,131
arunachal pradesh,kamle,March 2025,0,0
arunachal pradesh,keyi panyor,March 2025,0,0
arunachal pradesh,kra daadi,March 2025,75,122
arunachal pradesh,kurung kumey,March 2025,93,536
arunachal pradesh,leparada,March 2025,0,0
arunachal pradesh,lohit,March 2025,100,364
arunachal pradesh,longding,March 2025,133,129
arunachal pradesh,lower dibang valley,March 2025,80,117
arunachal pradesh,lower siang,March 2025,26,12
arunachal pradesh,lower subansiri,March 2025,81,128
arunachal pradesh,namsai,March 2025,213,274
arunachal pradesh,pakke kessang,March 2025,12,6
arunachal pradesh,papum pare,March 2025,345,717
arunachal pradesh,shi yomi,March 2025,14,12
arunachal pradesh,siang,March 2025,54,63
arunachal pradesh,tawang,March 2025,120,78
arunachal pradesh,tirap,March 2025,61,41
arunachal pradesh,upper siang,March 2025,53,72
arunachal pradesh,upper subansiri,March 2025,217,342
arunachal pradesh,west kameng,March 2025,188,425
arunachal pradesh,west siang,March 2025,212,175
assam,bajali,March 2025,0,0
assam,baksa,March 2025,1333,527
assam,barpeta,March 2025,8751,2053
assam,biswanath,March 2025,524,317
assam,bongaigaon,March 2025,3011,1170
assam,cachar,March 2025,1988,2199
assam,charaideo,March 2025,415,202
assam,chirang,March 2025,1611,679
assam,darrang,March 2025,663,942
assam,dhemaji,March 2025,1622,834
assam,dhubri,March 2025,6765,1655
assam,dibrugarh,March 2025,1444,2315
assam,dima hasao,March 2025,0,0
assam,goalpara,March 2025,715,734
assam,golaghat,March 2025,704,704
assam,hailakandi,March 2025,355,439
assam,hojai,March 2025,1585,1239
assam,jorhat,March 2025,867,571
assam,kamrup,March 2025,2602,1197
assam,kamrup metro,March 2025,1936,1525
assam,karbi anglong,March 2025,1984,1047
assam,kokrajhar,March 2025,3407,873
assam,lakhimpur,March 2025,1470,1353
assam,majuli,March 2025,343,101
assam,marigaon,March 2025,2305,1218
assam,nagaon,March 2025,3208,5081
assam,nalbari,March 2025,2028,335
assam,sivasagar,March 2025,0,0
assam,sonitpur,March 2025,1830,1158
assam,south salmara mancachar,March 2025,249,133
assam,sribhumi,March 2025,0,0
assam,tamulpur,March 2025,0,0
assam,tinsukia,March 2025,1135,846
assam,udalguri,March 2025,2332,951
assam,west karbi anglong,March 2025,76,159
bihar,araria,March 2025,13043,13990
bihar,arwal,March 2025,1438,3294
bihar,aurangabad,March 2025,6082,7741
bihar,banka,March 2025,6904,7892
bihar,begusarai,March 2025,13077,12307
bihar,bhagalpur,March 2025,13344,11954
bihar,bhojpur,March 2025,5124,12146
bihar,buxar,March 2025,3200,5001
bihar,darbhanga,March 2025,13331,17721
bihar,gaya,March 2025,16486,21241
bihar,gopalganj,March 2025,6451,7603
bihar,jamui,March 2025,6531,6134
bihar,jehanabad,March 2025,2391,4017
bihar,kaimur bhabua,March 2025,6479,7450
bihar,katihar,March 2025,16676,16958
bihar,khagaria,March 2025,6128,6877
bihar,kishanganj,March 2025,7612,8682
bihar,lakhisarai,March 2025,3715,3972
bihar,madhepura,March 2025,6355,11462
bihar,madhubani,March 2025,16996,20887
bihar,munger,March 2025,3099,4705
bihar,muzaffarpur,March 2025,13651,18161
bihar,nalanda,March 2025,6154,11926
bihar,nawada,March 2025,6780,9577
bihar,pashchim champaran,March 2025,0,0
bihar,patna,March 2025,11916,18174
bihar,purbi champaran,March 2025,0,0
bihar,purnia,March 2025,13497,17552
bihar,rohtas,March 2025,7472,9366
bihar,saharsa,March 2025,6272,12430
bihar,samastipur,March 2025,13667,19484
bihar,saran,March 2025,7779,13089
bihar,sheikhpura,March 2025,1885,3455
bihar,sheohar,March 2025,1803,3248
bihar,sitamarhi,March 2025,11896,16604
bihar,siwan,March 2025,6752,10438
bihar,supaul,March 2025,6821,11721
bihar,vaishali,March 2025,9704,16175
chandigarh,chandigarh,March 2025,3053,3377
chhattisgarh,balod,March 2025,982,4832
chhattisgarh,balodabazar bhatapara,March 2025,0,0
chhattisgarh,balrampur ramanujganj,March 2025,0,0
chhattisgarh,bastar,March 2025,990,4272
chhattisgarh,bemetara,March 2025,1030,7139
chhattisgarh,bijapur,March 2025,1452,1742
chhattisgarh,bilaspur,March 2025,2414,9589
chhattisgarh,dakshin bastar dantewada,March 2025,439,1084
chhattisgarh,dhamtari,March 2025,748,5784
chhattisgarh,durg,March 2025,2548,10749
chhattisgarh,gariyaband,March 2025,471,1694
chhattisgarh,gaurela pendra marwahi,March 2025,11,105
chhattisgarh,janjgir champa,March 2025,2728,10158
chhattisgarh,jashpur,March 2025,823,3469
chhattisgarh,kabeerdham,March 2025,407,1250
chhattisgarh,khairagarh chhuikhadan gandai,March 2025,0,0
chhattisgarh,kondagaon,March 2025,472,2224
chhattisgarh,korba,March 2025,5729,6814
chhattisgarh,korea,March 2025,0,0
chhattisgarh,mahasamund,March 2025,1257,5727
chhattisgarh,manendragarh chirmiri bharatpur m c b,March 2025,0,0
chhattisgarh,mohla manpur ambagarh chouki,March 2025,22,123
chhattisgarh,mungeli,March 2025,936,2497
chhattisgarh,narayanpur,March 2025,504,1544
chhattisgarh,raigarh,March 2025,2241,7408
chhattisgarh,raipur,March 2025,2737,9682
chhattisgarh,rajnandgaon,March 2025,1554,9521
chhattisgarh,sakti,March 2025,10,49
chhattisgarh,sarangarh bilaigarh,March 2025,0,0
chhattisgarh,sukma,March 2025,398,1033
chhattisgarh,surajpur,March 2025,741,4336
chhattisgarh,surguja,March 2025,981,3883
chhattisgarh,uttar bastar kanker,March 2025,181,1236
delhi,central,March 2025,0,0
delhi,east,March 2025,0,0
delhi,new delhi,March 2025,392,294
delhi,north,March 2025,0,0
delhi,north east,March 2025,238,4421
delhi,north west,March 2025,0,0
delhi,shahdara,March 2025,252,658
delhi,south,March 2025,0,0
delhi,south east,March 2025,0,0
delhi,south west,March 2025,0,0
delhi,west,March 2025,0,0
goa,north goa,March 2025,1883,2559
goa,south goa,March 2025,2154,2387
gujarat,ahmedabad,March 2025,19152,30017
gujarat,amreli,March 2025,3463,3849
gujarat,anand,March 2025,5698,8373
gujarat,arvalli,March 2025,1595,1109
gujarat,banas kantha,March 2025,8364,10340
gujarat,bharuch,March 2025,4757,5176
gujarat,bhavnagar,March 2025,7812,10258
gujarat,botad,March 2025,1347,831
gujarat,chhotaudepur,March 2025,1551,1799
gujarat,dahod,March 2025,6531,7658
gujarat,dangs,March 2025,0,0
gujarat,devbhumi dwarka,March 2025,1829,932
gujarat,gandhinagar,March 2025,4273,5905
gujarat,gir somnath,March 2025,2574,1707
gujarat,jamnagar,March 2025,4794,5215
gujarat,junagadh,March 2025,3500,8433
gujarat,kachchh,March 2025,9380,6902
gujarat,kheda,March 2025,6929,10058
gujarat,mahesana,March 2025,5066,7773
gujarat,mahisagar,March 2025,1999,1808
gujarat,morbi,March 2025,2220,1289
gujarat,narmada,March 2025,2020,4588
