month,state_norm,district_resolved,bio_age_5_17,bio_age_17_
March 2025,andaman and nicobar islands,nicobars,178,101
March 2025,andaman and nicobar islands,north and middle andaman,470,347
March 2025,andaman and nicobar islands,south andamans,948,450
March 2025,andhra pradesh,alluri sitharama raju,585,1408
March 2025,andhra pradesh,anakapalli,218,234
March 2025,andhra pradesh,ananthapuramu,25785,4302
March 2025,andhra pradesh,annamayya,235,270
March 2025,andhra pradesh,bapatla,114,131
March 2025,andhra pradesh,chittoor,18773,9414
March 2025,andhra pradesh,dr b r ambedkar konaseema,116,181
March 2025,andhra pradesh,east godavari,18286,11512
March 2025,andhra pradesh,eluru,171,308
March 2025,andhra pradesh,guntur,19655,11604
March 2025,andhra pradesh,kakinada,203,317
March 2025,andhra pradesh,krishna,16816,9887
March 2025,andhra pradesh,kurnool,27662,10576
March 2025,andhra pradesh,nandyal,283,280
March 2025,andhra pradesh,palnadu,293,311
March 2025,andhra pradesh,parvathipuram manyam,362,487
March 2025,andhra pradesh,prakasam,11991,7242
March 2025,andhra pradesh,sri potti sriramulu nellore,110,172
March 2025,andhra pradesh,sri sathya sai,738,463
March 2025,andhra pradesh,srikakulam,22984,6997
March 2025,andhra pradesh,tirupati,268,382
March 2025,andhra pradesh,visakhapatnam,21850,15143
March 2025,andhra pradesh,vizianagaram,11966,6473
March 2025,andhra pradesh,west godavari,15662,9674
March 2025,arunachal pradesh,anjaw,55,79
March 2025,arunachal pradesh,changlang,483,339
March 2025,arunachal pradesh,dibang valley,15,41
March 2025,arunachal pradesh,east kameng,189,244
March 2025,arunachal pradesh,east siang,134,131
March 2025,arunachal pradesh,kra daadi,75,122
March 2025,arunachal pradesh,kurung kumey,93,536
March 2025,arunachal pradesh,lohit,100,364
March 2025,arunachal pradesh,longding,133,129
March 2025,arunachal pradesh,lower dibang valley,80,117
March 2025,arunachal pradesh,lower siang,26,12
March 2025,arunachal pradesh,lower subansiri,81,128
March 2025,arunachal pradesh,namsai,213,274
March 2025,arunachal pradesh,pakke kessang,12,6
March 2025,arunachal pradesh,papum pare,345,717
March 2025,arunachal pradesh,shi yomi,14,12
March 2025,arunachal pradesh,siang,54,63
March 2025,arunachal pradesh,tawang,120,78
March 2025,arunachal pradesh,tirap,61,41
March 2025,arunachal pradesh,upper siang,53,72
March 2025,arunachal pradesh,upper subansiri,217,342
March 2025,arunachal pradesh,west kameng,188,425
March 2025,arunachal pradesh,west siang,212,175
March 2025,assam,baksa,1333,527
March 2025,assam,barpeta,8751,2053
March 2025,assam,biswanath,524,317
March 2025,assam,bongaigaon,3011,1170
March 2025,assam,cachar,1988,2199
March 2025,assam,charaideo,415,202
March 2025,assam,chirang,1611,679
March 2025,assam,darrang,663,942
March 2025,assam,dhemaji,1622,834
March 2025,assam,dhubri,6765,1655
March 2025,assam,dibrugarh,1444,2315
March 2025,assam,goalpara,715,734
March 2025,assam,golaghat,704,704
