month,state_norm,district_resolved,demo_age_5_17,demo_age_17_
March 2025,andaman and nicobar islands,nicobars,32,360
March 2025,andaman and nicobar islands,north and middle andaman,20,402
March 2025,andaman and nicobar islands,south andamans,74,450
March 2025,andhra pradesh,alluri sitharama raju,507,4448
March 2025,andhra pradesh,anakapalli,373,2791
March 2025,andhra pradesh,ananthapuramu,4567,15201
March 2025,andhra pradesh,annamayya,526,3272
March 2025,andhra pradesh,bapatla,232,1653
March 2025,andhra pradesh,chittoor,4070,38298
March 2025,andhra pradesh,dr b r ambedkar konaseema,240,2136
March 2025,andhra pradesh,east godavari,3391,37620
March 2025,andhra pradesh,eluru,283,2536
March 2025,andhra pradesh,guntur,3060,40302
March 2025,andhra pradesh,kakinada,638,4748
March 2025,andhra pradesh,krishna,1711,21831
March 2025,andhra pradesh,kurnool,3650,31715
March 2025,andhra pradesh,nandyal,339,2135
March 2025,andhra pradesh,palnadu,323,2765
March 2025,andhra pradesh,parvathipuram manyam,201,1664
March 2025,andhra pradesh,prakasam,2116,27970
March 2025,andhra pradesh,sri potti sriramulu nellore,392,2890
March 2025,andhra pradesh,sri sathya sai,535,2386
March 2025,andhra pradesh,srikakulam,5275,37687
March 2025,andhra pradesh,tirupati,478,4139
March 2025,andhra pradesh,visakhapatnam,3222,36984
March 2025,andhra pradesh,vizianagaram,2141,20324
March 2025,andhra pradesh,west godavari,2189,27673
March 2025,arunachal pradesh,anjaw,24,210
March 2025,arunachal pradesh,changlang,73,1120
March 2025,arunachal pradesh,east siang,19,151
March 2025,arunachal pradesh,kra daadi,26,105
March 2025,arunachal pradesh,lohit,30,234
March 2025,arunachal pradesh,longding,45,285
March 2025,arunachal pradesh,lower dibang valley,36,249
March 2025,arunachal pradesh,lower siang,22,66
March 2025,arunachal pradesh,lower subansiri,41,280
March 2025,arunachal pradesh,namsai,50,553
March 2025,arunachal pradesh,papum pare,163,1311
March 2025,arunachal pradesh,siang,25,159
March 2025,arunachal pradesh,tawang,27,117
March 2025,arunachal pradesh,tirap,18,235
March 2025,arunachal pradesh,upper siang,12,40
March 2025,arunachal pradesh,upper subansiri,106,570
March 2025,arunachal pradesh,west kameng,25,116
March 2025,arunachal pradesh,west siang,110,1156
March 2025,assam,baksa,397,4438
March 2025,assam,barpeta,821,9181
March 2025,assam,biswanath,227,2732
March 2025,assam,bongaigaon,699,8681
March 2025,assam,cachar,1234,10000
March 2025,assam,charaideo,145,1953
March 2025,assam,chirang,179,1711
March 2025,assam,darrang,661,5819
March 2025,assam,dhemaji,534,5979
March 2025,assam,dhubri,1070,10824
March 2025,assam,dibrugarh,338,5542
March 2025,assam,goalpara,768,6461
March 2025,assam,golaghat,587,8416
March 2025,assam,hailakandi,211,1822
March 2025,assam,hojai,319,3439
March 2025,assam,jorhat,320,5231
March 2025,assam,kamrup,319,5222
March 2025,assam,kamrup metro,579,5320
March 2025,assam,karbi anglong,675,6192
March 2025,assam,kokrajhar,538,3272
March 2025,assam,lakhimpur,577,9766
March 2025,assam,majuli,55,569
March 2025,assam,marigaon,1006,7948
March 2025,assam,nagaon,1216,16723
March 2025,assam,nalbari,509,4658
March 2025,assam,sonitpur,802,9796
March 2025,assam,south salmara mancachar,197,3153
March 2025,assam,tinsukia,499,7786
March 2025,assam,udalguri,367,4869
March 2025,assam,west karbi anglong,56,360
March 2025,bihar,araria,2774,32707
March 2025,bihar,arwal,558,5961
March 2025,bihar,aurangabad,2788,23698
March 2025,bihar,banka,2100,23353
March 2025,bihar,begusarai,3601,28482
March 2025,bihar,bhagalpur,4949,37353
March 2025,bihar,bhojpur,2688,29327
March 2025,bihar,buxar,1661,18351
March 2025,bihar,darbhanga,2612,28474
March 2025,bihar,gaya,5828,49924
March 2025,bihar,gopalganj,2129,22709
March 2025,bihar,jamui,1393,15286
March 2025,bihar,jehanabad,988,8898
March 2025,bihar,kaimur bhabua,847,8728
March 2025,bihar,katihar,2845,33082
March 2025,bihar,khagaria,1450,12708
March 2025,bihar,kishanganj,1811,25016
March 2025,bihar,lakhisarai,777,7918
March 2025,bihar,madhepura,1283,17649
March 2025,bihar,madhubani,3407,41495
March 2025,bihar,munger,992,13363
March 2025,bihar,muzaffarpur,4456,42818
March 2025,bihar,nalanda,2310,21564
March 2025,bihar,nawada,1429,16428
March 2025,bihar,patna,4807,41971
March 2025,bihar,purnia,2194,26114
March 2025,bihar,rohtas,2121,19596
March 2025,bihar,saharsa,1584,18727
March 2025,bihar,samastipur,4382,44385
