state_norm,district,month,demo_age_5_17,demo_age_17_
andaman and nicobar islands,nicobars,March 2025,32,360
andaman and nicobar islands,north and middle andaman,March 2025,20,402
andaman and nicobar islands,south andamans,March 2025,74,450
andhra pradesh,alluri sitharama raju,March 2025,507,4448
andhra pradesh,anakapalli,March 2025,373,2791
andhra pradesh,ananthapuramu,March 2025,4567,15201
andhra pradesh,annamayya,March 2025,526,3272
andhra pradesh,bapatla,March 2025,232,1653
andhra pradesh,chittoor,March 2025,4070,38298
andhra pradesh,dr b r ambedkar konaseema,March 2025,240,2136
andhra pradesh,east godavari,March 2025,3391,37620
andhra pradesh,eluru,March 2025,283,2536
andhra pradesh,guntur,March 2025,3060,40302
andhra pradesh,kakinada,March 2025,638,4748
andhra pradesh,krishna,March 2025,1711,21831
andhra pradesh,kurnool,March 2025,3650,31715
andhra pradesh,nandyal,March 2025,339,2135
andhra pradesh,ntr,March 2025,0,0
andhra pradesh,palnadu,March 2025,323,2765
andhra pradesh,parvathipuram manyam,March 2025,201,1664
andhra pradesh,prakasam,March 2025,2116,27970
andhra pradesh,sri potti sriramulu nellore,March 2025,392,2890
andhra pradesh,sri sathya sai,March 2025,535,2386
andhra pradesh,srikakulam,March 2025,5275,37687
andhra pradesh,tirupati,March 2025,478,4139
andhra pradesh,visakhapatnam,March 2025,3222,36984
andhra pradesh,vizianagaram,March 2025,2141,20324
andhra pradesh,west godavari,March 2025,2189,27673
andhra pradesh,y s r kadapa,March 2025,0,0
arunachal pradesh,anjaw,March 2025,24,210
arunachal pradesh,bichom,March 2025,0,0
arunachal pradesh,changlang,March 2025,73,1120
arunachal pradesh,dibang valley,March 2025,0,0
arunachal pradesh,east kameng,March 2025,0,0
arunachal pradesh,east siang,March 2025,19,151
arunachal pradesh,kamle,March 2025,0,0
arunachal pradesh,keyi panyor,March 2025,0,0
arunachal pradesh,kra daadi,March 2025,26,105
arunachal pradesh,kurung kumey,March 2025,0,0
arunachal pradesh,leparada,March 2025,0,0
arunachal pradesh,lohit,March 2025,30,234
arunachal pradesh,longding,March 2025,45,285
arunachal pradesh,lower dibang valley,March 2025,36,249
arunachal pradesh,lower siang,March 2025,22,66
arunachal pradesh,lower subansiri,March 2025,41,280
arunachal pradesh,namsai,March 2025,50,553
arunachal pradesh,pakke kessang,March 2025,0,0
arunachal pradesh,papum pare,March 2025,163,1311
arunachal pradesh,shi yomi,March 2025,0,0
arunachal pradesh,siang,March 2025,25,159
arunachal pradesh,tawang,March 2025,27,117
arunachal pradesh,tirap,March 2025,18,235
arunachal pradesh,upper siang,March 2025,12,40
arunachal pradesh,upper subansiri,March 2025,106,570
arunachal pradesh,west kameng,March 2025,25,116
arunachal pradesh,west siang,March 2025,110,1156
assam,bajali,March 2025,0,0
assam,baksa,March 2025,397,4438
assam,barpeta,March 2025,821,9181
assam,biswanath,March 2025,227,2732
assam,bongaigaon,March 2025,699,8681
assam,cachar,March 2025,1234,10000
assam,charaideo,March 2025,145,1953
assam,chirang,March 2025,179,1711
assam,darrang,March 2025,661,5819
assam,dhemaji,March 2025,534,5979
assam,dhubri,March 2025,1070,10824
assam,dibrugarh,March 2025,338,5542
assam,dima hasao,March 2025,0,0
assam,goalpara,March 2025,768,6461
assam,golaghat,March 2025,587,8416
assam,hailakandi,March 2025,211,1822
assam,hojai,March 2025,319,3439
assam,jorhat,March 2025,320,5231
assam,kamrup,March 2025,319,5222
assam,kamrup metro,March 2025,579,5320
assam,karbi anglong,March 2025,675,6192
assam,kokrajhar,March 2025,538,3272
assam,lakhimpur,March 2025,577,9766
assam,majuli,March 2025,55,569
assam,marigaon,March 2025,1006,7948
assam,nagaon,March 2025,1216,16723
assam,nalbari,March 2025,509,4658
assam,sivasagar,March 2025,0,0
assam,sonitpur,March 2025,802,9796
assam,south salmara mancachar,March 2025,197,3153
assam,sribhumi,March 2025,0,0
assam,tamulpur,March 2025,0,0
assam,tinsukia,March 2025,499,7786
assam,udalguri,March 2025,367,4869
assam,west karbi anglong,March 2025,56,360
bihar,araria,March 2025,2774,32707
bihar,arwal,March 2025,558,5961
bihar,aurangabad,March 2025,2788,23698
bihar,banka,March 2025,2100,23353
bihar,begusarai,March 2025,3601,28482
bihar,bhagalpur,March 2025,4949,37353
bihar,bhojpur,March 2025,2688,29327
bihar,buxar,March 2025,1661,18351
bihar,darbhanga,March 2025,2612,28474
bihar,gaya,March 2025,5828,49924
bihar,gopalganj,March 2025,2129,22709
bihar,jamui,March 2025,1393,15286
bihar,jehanabad,March 2025,988,8898
bihar,kaimur bhabua,March 2025,847,8728
bihar,katihar,March 2025,2845,33082
bihar,khagaria,March 2025,1450,12708
bihar,kishanganj,March 2025,1811,25016
bihar,lakhisarai,March 2025,777,7918
bihar,madhepura,March 2025,1283,17649
bihar,madhubani,March 2025,3407,41495
bihar,munger,March 2025,992,13363
bihar,muzaffarpur,March 2025,4456,42818
bihar,nalanda,March 2025,2310,21564
bihar,nawada,March 2025,1429,16428
bihar,pashchim champaran,March 2025,0,0
bihar,patna,March 2025,4807,41971
bihar,purbi champaran,March 2025,0,0
bihar,purnia,March 2025,2194,26114
bihar,rohtas,March 2025,2121,19596
bihar,saharsa,March 2025,1584,18727
bihar,samastipur,March 2025,4382,44385
bihar,saran,March 2025,3695,41077
bihar,sheikhpura,March 2025,490,5055
bihar,sheohar,March 2025,778,7797
bihar,sitamarhi,March 2025,3044,36696
bihar,siwan,March 2025,2637,26684
