month,state_norm,district_resolved,age_0_5,age_5_17,age_18_greater
March 2025,assam,baksa,11,14,13
March 2025,assam,barpeta,24,34,10
March 2025,assam,bongaigaon,25,33,31
March 2025,assam,chirang,12,29,15
March 2025,assam,dhemaji,20,46,19
March 2025,assam,dhubri,89,229,98
March 2025,assam,dibrugarh,10,12,14
March 2025,assam,hojai,27,42,20
March 2025,assam,kamrup,13,20,13
March 2025,assam,kokrajhar,91,169,80
March 2025,assam,lakhimpur,25,34,42
March 2025,assam,marigaon,117,184,245
March 2025,assam,nagaon,19,15,22
March 2025,assam,sonitpur,10,28,43
March 2025,assam,tinsukia,84,170,101
March 2025,assam,udalguri,10,46,34
March 2025,bihar,bhagalpur,13,40,18
March 2025,bihar,madhubani,46,235,49
March 2025,bihar,muzaffarpur,24,40,10
March 2025,bihar,pashchim champaran,25,88,13
March 2025,bihar,patna,12,52,16
March 2025,bihar,purbi champaran,60,241,35
March 2025,bihar,sitamarhi,336,696,303
March 2025,chhattisgarh,bijapur,66,31,63
March 2025,chhattisgarh,raipur,49,15,36
March 2025,gujarat,banas kantha,408,223,175
March 2025,gujarat,kachchh,33,13,10
March 2025,gujarat,morbi,36,12,23
March 2025,gujarat,patan,141,26,23
March 2025,gujarat,vadodara,36,43,10
March 2025,haryana,faridabad,80,60,10
March 2025,haryana,gurugram,18,19,13
March 2025,jharkhand,deoghar,12,25,18
March 2025,karnataka,bengaluru urban,309,192,231
March 2025,madhya pradesh,bhind,54,33,22
March 2025,madhya pradesh,gwalior,179,86,62
March 2025,madhya pradesh,katni,53,42,11
March 2025,maharashtra,parbhani,17,14,37
March 2025,maharashtra,thane,19,13,15
March 2025,meghalaya,east khasi hills,44,92,164
March 2025,meghalaya,ri bhoi,30,11,26
March 2025,meghalaya,west jaintia hills,315,53,142
March 2025,meghalaya,west khasi hills,118,113,442
March 2025,punjab,amritsar,14,15,20
March 2025,punjab,ludhiana,104,13,14
March 2025,rajasthan,sikar,41,36,17
March 2025,tamil nadu,kancheepuram,12,12,10
March 2025,uttar pradesh,agra,280,494,132
March 2025,uttar pradesh,aligarh,226,353,44
March 2025,uttar pradesh,bahraich,69,241,61
March 2025,uttar pradesh,banda,31,24,11
March 2025,uttar pradesh,bulandshahr,19,32,10
March 2025,uttar pradesh,firozabad,93,77,21
March 2025,uttar pradesh,gautam buddha nagar,175,636,72
March 2025,uttar pradesh,ghaziabad,129,471,89
March 2025,uttar pradesh,gorakhpur,13,36,11
March 2025,uttar pradesh,jaunpur,70,213,51
March 2025,uttar pradesh,kanpur nagar,47,138,23
March 2025,uttar pradesh,lucknow,23,102,17
March 2025,uttar pradesh,mahrajganj,54,181,47
March 2025,uttar pradesh,mathura,39,40,42
March 2025,uttar pradesh,saharanpur,91,152,10
March 2025,uttar pradesh,unnao,34,136,33
March 2025,uttarakhand,dehradun,123,43,10
March 2025,uttarakhand,haridwar,17,15,28
March 2025,uttarakhand,nainital,46,18,11
March 2025,west bengal,uttar dinajpur,26,18,27
April 2025,assam,baksa,408,483,187
April 2025,assam,barpeta,138,54,23
April 2025,assam,biswanath,104,114,32
April 2025,assam,bongaigaon,221,87,61
April 2025,assam,cachar,988,461,299
April 2025,assam,charaideo,91,50,164
April 2025,assam,chirang,189,199,179
April 2025,assam,darrang,654,340,270
April 2025,assam,dhemaji,179,176,52
April 2025,assam,dhubri,998,654,80
April 2025,assam,dibrugarh,179,149,186
April 2025,assam,goalpara,587,294,283
April 2025,assam,golaghat,568,501,144
April 2025,assam,hailakandi,242,143,78
April 2025,assam,hojai,763,253,100
April 2025,assam,jorhat,210,156,154
April 2025,assam,kamrup,741,404,179
April 2025,assam,kamrup metro,276,396,213
April 2025,assam,karbi anglong,543,1030,323
April 2025,assam,kokrajhar,301,238,25
April 2025,assam,lakhimpur,400,221,93
April 2025,assam,marigaon,540,457,96
April 2025,assam,nagaon,504,236,36
April 2025,assam,nalbari,55,49,77
April 2025,assam,sonitpur,138,169,65
April 2025,assam,south salmara mancachar,176,102,30
April 2025,assam,tinsukia,339,391,261
April 2025,assam,udalguri,447,364,319
April 2025,assam,west karbi anglong,94,344,45
April 2025,bihar,bhagalpur,678,534,26
April 2025,bihar,gaya,437,1371,54
April 2025,bihar,jamui,1015,647,30
April 2025,bihar,jehanabad,78,292,48
April 2025,bihar,kaimur bhabua,146,199,12
April 2025,bihar,madhubani,388,485,60
April 2025,bihar,munger,191,278,22
April 2025,bihar,muzaffarpur,1159,865,65
April 2025,bihar,patna,723,2303,373
April 2025,bihar,purnia,517,276,21
April 2025,bihar,saran,143,174,10
April 2025,bihar,sitamarhi,2452,1625,487
April 2025,bihar,vaishali,270,217,10
April 2025,chandigarh,chandigarh,86,21,10
April 2025,chhattisgarh,bijapur,397,135,126
April 2025,chhattisgarh,durg,336,38,10
April 2025,chhattisgarh,raipur,299,12,11
April 2025,chhattisgarh,sukma,267,69,45
April 2025,delhi,shahdara,208,98,13
April 2025,gujarat,ahmedabad,77,26,19
April 2025,gujarat,amreli,174,21,43
April 2025,gujarat,anand,136,30,75
April 2025,gujarat,arvalli,144,32,30
April 2025,gujarat,banas kantha,1685,1358,1001
April 2025,gujarat,bharuch,138,50,23
April 2025,gujarat,bhavnagar,567,36,25
April 2025,gujarat,botad,291,21,20
April 2025,gujarat,chhotaudepur,242,121,119
April 2025,gujarat,dahod,855,782,434
April 2025,gujarat,devbhumi dwarka,186,44,54
April 2025,gujarat,gandhinagar,495,138,156
April 2025,gujarat,gir somnath,1262,265,179
April 2025,gujarat,jamnagar,240,43,33
April 2025,gujarat,junagadh,250,27,12
April 2025,gujarat,kachchh,587,242,78
April 2025,gujarat,kheda,425,80,150
April 2025,gujarat,mahesana,433,55,65
April 2025,gujarat,mahisagar,110,12,16
April 2025,gujarat,morbi,818,178,175
April 2025,gujarat,navsari,133,10,33
April 2025,gujarat,patan,800,173,225
April 2025,gujarat,porbandar,267,38,44
April 2025,gujarat,rajkot,1398,338,231
April 2025,gujarat,surat,2932,976,280
April 2025,gujarat,tapi,68,12,13
April 2025,gujarat,vadodara,788,216,180
April 2025,gujarat,valsad,618,186,100
April 2025,haryana,faridabad,1291,290,25
April 2025,jharkhand,deoghar,371,342,10
April 2025,jharkhand,dumka,34,32,23
April 2025,jharkhand,east singhbum,55,54,11
April 2025,jharkhand,godda,79,46,11
April 2025,jharkhand,hazaribagh,169,65,14
April 2025,jharkhand,lohardaga,187,104,17
April 2025,jharkhand,pakur,579,372,11
April 2025,jharkhand,ranchi,552,481,87
April 2025,karnataka,kalaburagi,560,31,17
April 2025,karnataka,mysuru,456,19,10
April 2025,karnataka,yadgir,536,89,21
April 2025,madhya pradesh,alirajpur,134,105,15
April 2025,madhya pradesh,ashoknagar,342,139,50
April 2025,madhya pradesh,barwani,497,313,10
April 2025,madhya pradesh,betul,193,20,10
April 2025,madhya pradesh,bhind,732,228,91
April 2025,madhya pradesh,bhopal,316,47,20
April 2025,madhya pradesh,burhanpur,547,155,100
April 2025,madhya pradesh,chhatarpur,555,255,40
April 2025,madhya pradesh,datia,237,55,10
April 2025,madhya pradesh,dewas,427,65,10
April 2025,madhya pradesh,dhar,396,116,107
April 2025,madhya pradesh,guna,633,120,31
April 2025,madhya pradesh,gwalior,855,370,113
April 2025,madhya pradesh,indore,830,205,48
April 2025,madhya pradesh,jabalpur,125,23,11
April 2025,madhya pradesh,jhabua,466,372,48
April 2025,madhya pradesh,katni,353,40,20
April 2025,madhya pradesh,morena,1027,459,82
April 2025,madhya pradesh,panna,107,33,19
April 2025,madhya pradesh,raisen,410,83,22
April 2025,madhya pradesh,sagar,183,26,12
April 2025,madhya pradesh,satna,368,55,14
April 2025,madhya pradesh,sheopur,209,163,24
April 2025,madhya pradesh,shivpuri,499,259,111
April 2025,madhya pradesh,vidisha,670,119,42
April 2025,maharashtra,beed,379,52,19
April 2025,maharashtra,chandrapur,193,18,10
April 2025,maharashtra,hingoli,913,95,136
April 2025,maharashtra,jalgaon,360,53,10
April 2025,maharashtra,latur,229,42,23
April 2025,maharashtra,mumbai suburban,389,109,44
April 2025,maharashtra,nagpur,468,50,48
April 2025,maharashtra,nanded,462,89,56
April 2025,maharashtra,nandurbar,237,35,10
April 2025,maharashtra,palghar,174,90,16
April 2025,maharashtra,parbhani,135,10,16
April 2025,maharashtra,pune,39,11,19
April 2025,maharashtra,raigad,242,72,21
April 2025,maharashtra,satara,192,26,18
April 2025,maharashtra,solapur,548,67,45
April 2025,maharashtra,thane,2371,913,150
April 2025,manipur,churachandpur,130,476,26
April 2025,meghalaya,east garo hills,491,1124,293
April 2025,meghalaya,east jaintia hills,434,765,283
April 2025,meghalaya,east khasi hills,1437,4688,1673
April 2025,meghalaya,north garo hills,205,1048,242
April 2025,meghalaya,ri bhoi,319,1500,514
April 2025,meghalaya,south garo hills,231,820,367
April 2025,meghalaya,south west garo hills,991,610,174
April 2025,meghalaya,south west khasi hills,241,535,212
April 2025,meghalaya,west garo hills,1215,1761,727
April 2025,meghalaya,west jaintia hills,712,1478,727
April 2025,meghalaya,west khasi hills,896,2670,1129
April 2025,mizoram,champhai,275,76,17
April 2025,nagaland,chumoukedima,16,57,13
April 2025,nagaland,dimapur,249,454,80
April 2025,nagaland,kohima,212,385,49
April 2025,nagaland,longleng,131,226,12
April 2025,nagaland,noklak,47,65,16
April 2025,nagaland,peren,201,331,12
April 2025,nagaland,phek,157,268,22
April 2025,nagaland,tuensang,173,296,34
April 2025,odisha,nabarangpur,182,82,12
April 2025,punjab,amritsar,959,209,54
April 2025,punjab,gurdaspur,233,36,49
April 2025,punjab,hoshiarpur,267,35,34
April 2025,punjab,kapurthala,302,65,305
April 2025,punjab,ludhiana,1841,734,184
April 2025,punjab,sangrur,145,11,10
April 2025,rajasthan,ajmer,1007,196,36
April 2025,rajasthan,alwar,784,209,39
April 2025,rajasthan,baran,379,60,25
April 2025,rajasthan,bharatpur,240,37,10
April 2025,rajasthan,bikaner,552,261,16
April 2025,rajasthan,bundi,337,93,35
April 2025,rajasthan,churu,316,141,12
April 2025,rajasthan,dholpur,947,347,50
April 2025,rajasthan,dungarpur,66,83,13
April 2025,rajasthan,jaipur,2601,671,162
April 2025,rajasthan,jalore,1186,672,124
April 2025,rajasthan,jhalawar,112,49,12
April 2025,rajasthan,jodhpur,1624,565,87
April 2025,rajasthan,karauli,348,105,12
April 2025,rajasthan,kota,37,17,14
April 2025,rajasthan,nagaur,563,278,32
April 2025,rajasthan,pali,138,38,11
April 2025,rajasthan,sikar,251,62,22
April 2025,rajasthan,sirohi,349,210,67
April 2025,rajasthan,udaipur,70,47,15
April 2025,tamil nadu,kancheepuram,229,75,24
April 2025,tamil nadu,madurai,94,10,11
April 2025,tamil nadu,thanjavur,35,10,11
April 2025,telangana,hyderabad,252,32,22
April 2025,telangana,medchal malkajgiri,76,25,15
April 2025,tripura,unakoti,19,16,15
April 2025,tripura,west tripura,146,65,25
April 2025,uttar pradesh,agra,832,568,37
April 2025,uttar pradesh,aligarh,1066,643,58
April 2025,uttar pradesh,ambedkar nagar,159,143,10
April 2025,uttar pradesh,amroha,434,135,11
April 2025,uttar pradesh,azamgarh,231,332,26
April 2025,uttar pradesh,baghpat,311,224,18
April 2025,uttar pradesh,bahraich,1748,1784,281
April 2025,uttar pradesh,balrampur,429,642,32
April 2025,uttar pradesh,banda,458,340,43
April 2025,uttar pradesh,bara banki,172,72,10
April 2025,uttar pradesh,bareilly,3176,1025,63
April 2025,uttar pradesh,basti,140,139,10
April 2025,uttar pradesh,budaun,480,267,13
April 2025,uttar pradesh,bulandshahr,612,527,49
April 2025,uttar pradesh,chandauli,195,192,41
April 2025,uttar pradesh,etah,724,354,13
April 2025,uttar pradesh,etawah,348,226,16
April 2025,uttar pradesh,fatehpur,166,136,10
April 2025,uttar pradesh,gautam buddha nagar,1192,1186,113
April 2025,uttar pradesh,gonda,392,260,50
April 2025,uttar pradesh,gorakhpur,378,727,86
April 2025,uttar pradesh,jalaun,221,102,26
April 2025,uttar pradesh,jaunpur,662,800,64
April 2025,uttar pradesh,kanpur dehat,469,364,75
April 2025,uttar pradesh,kanpur nagar,1405,1363,222
April 2025,uttar pradesh,kaushambi,133,109,25
April 2025,uttar pradesh,kheri,523,548,31
April 2025,uttar pradesh,lucknow,1235,1253,125
April 2025,uttar pradesh,mahrajganj,873,977,79
April 2025,uttar pradesh,mainpuri,348,313,46
April 2025,uttar pradesh,meerut,1370,650,33
April 2025,uttar pradesh,moradabad,1519,510,15
April 2025,uttar pradesh,muzaffarnagar,680,308,27
April 2025,uttar pradesh,pilibhit,598,260,20
April 2025,uttar pradesh,rampur,894,333,19
April 2025,uttar pradesh,saharanpur,1499,533,29
April 2025,uttar pradesh,shahjahanpur,1402,852,63
April 2025,uttar pradesh,shamli,374,151,12
April 2025,uttar pradesh,shrawasti,207,307,11
April 2025,uttar pradesh,siddharthnagar,804,1006,68
April 2025,uttar pradesh,sitapur,1928,1053,87
April 2025,uttar pradesh,sultanpur,262,195,23
April 2025,uttar pradesh,unnao,937,547,30
April 2025,uttar pradesh,varanasi,527,733,81
April 2025,uttarakhand,dehradun,510,138,26
April 2025,uttarakhand,nainital,488,66,48
April 2025,west bengal,alipurduar,38,63,27
April 2025,west bengal,cooch behar,297,156,32
April 2025,west bengal,darjeeling,383,200,75
April 2025,west bengal,jalpaiguri,194,62,36
April 2025,west bengal,jhargram,40,10,12
