state_norm,district,month,age_0_5,age_5_17,age_18_greater
andaman and nicobar islands,nicobars,March 2025,0,0,0
andaman and nicobar islands,north and middle andaman,March 2025,0,0,0
andaman and nicobar islands,south andamans,March 2025,0,0,0
andhra pradesh,alluri sitharama raju,March 2025,0,0,0
andhra pradesh,anakapalli,March 2025,0,0,0
andhra pradesh,ananthapuramu,March 2025,0,0,0
andhra pradesh,annamayya,March 2025,0,0,0
andhra pradesh,bapatla,March 2025,0,0,0
andhra pradesh,chittoor,March 2025,0,0,0
andhra pradesh,dr b r ambedkar konaseema,March 2025,0,0,0
andhra pradesh,east godavari,March 2025,0,0,0
andhra pradesh,eluru,March 2025,0,0,0
andhra pradesh,guntur,March 2025,0,0,0
andhra pradesh,kakinada,March 2025,0,0,0
andhra pradesh,krishna,March 2025,0,0,0
andhra pradesh,kurnool,March 2025,0,0,0
andhra pradesh,nandyal,March 2025,0,0,0
andhra pradesh,ntr,March 2025,0,0,0
andhra pradesh,palnadu,March 2025,0,0,0
andhra pradesh,parvathipuram manyam,March 2025,0,0,0
andhra pradesh,prakasam,March 2025,0,0,0
andhra pradesh,sri potti sriramulu nellore,March 2025,0,0,0
andhra pradesh,sri sathya sai,March 2025,0,0,0
andhra pradesh,srikakulam,March 2025,0,0,0
andhra pradesh,tirupati,March 2025,0,0,0
andhra pradesh,visakhapatnam,March 2025,0,0,0
andhra pradesh,vizianagaram,March 2025,0,0,0
andhra pradesh,west godavari,March 2025,0,0,0
andhra pradesh,y s r kadapa,March 2025,0,0,0
arunachal pradesh,anjaw,March 2025,0,0,0
arunachal pradesh,bichom,March 2025,0,0,0
arunachal pradesh,changlang,March 2025,0,0,0
arunachal pradesh,dibang valley,March 2025,0,0,0
arunachal pradesh,east kameng,March 2025,0,0,0
arunachal pradesh,east siang,March 2025,0,0,0
arunachal pradesh,kamle,March 2025,0,0,0
arunachal pradesh,keyi panyor,March 2025,0,0,0
arunachal pradesh,kra daadi,March 2025,0,0,0
arunachal pradesh,kurung kumey,March 2025,0,0,0
arunachal pradesh,leparada,March 2025,0,0,0
arunachal pradesh,lohit,March 2025,0,0,0
arunachal pradesh,longding,March 2025,0,0,0
arunachal pradesh,lower dibang valley,March 2025,0,0,0
arunachal pradesh,lower siang,March 2025,0,0,0
arunachal pradesh,lower subansiri,March 2025,0,0,0
arunachal pradesh,namsai,March 2025,0,0,0
arunachal pradesh,pakke kessang,March 2025,0,0,0
arunachal pradesh,papum pare,March 2025,0,0,0
arunachal pradesh,shi yomi,March 2025,0,0,0
arunachal pradesh,siang,March 2025,0,0,0
arunachal pradesh,tawang,March 2025,0,0,0
arunachal pradesh,tirap,March 2025,0,0,0
arunachal pradesh,upper siang,March 2025,0,0,0
arunachal pradesh,upper subansiri,March 2025,0,0,0
arunachal pradesh,west kameng,March 2025,0,0,0
arunachal pradesh,west siang,March 2025,0,0,0
assam,bajali,March 2025,0,0,0
assam,baksa,March 2025,11,14,13
assam,barpeta,March 2025,24,34,10
assam,biswanath,March 2025,0,0,0
assam,bongaigaon,March 2025,25,33,31
assam,cachar,March 2025,0,0,0
assam,charaideo,March 2025,0,0,0
assam,chirang,March 2025,12,29,15
assam,darrang,March 2025,0,0,0
assam,dhemaji,March 2025,20,46,19
assam,dhubri,March 2025,89,229,98
assam,dibrugarh,March 2025,10,12,14
assam,dima hasao,March 2025,0,0,0
assam,goalpara,March 2025,0,0,0
assam,golaghat,March 2025,0,0,0
assam,hailakandi,March 2025,0,0,0
assam,hojai,March 2025,27,42,20
assam,jorhat,March 2025,0,0,0
assam,kamrup,March 2025,13,20,13
assam,kamrup metro,March 2025,0,0,0
assam,karbi anglong,March 2025,0,0,0
assam,kokrajhar,March 2025,91,169,80
assam,lakhimpur,March 2025,25,34,42
assam,majuli,March 2025,0,0,0
assam,marigaon,March 2025,117,184,245
assam,nagaon,March 2025,19,15,22
assam,nalbari,March 2025,0,0,0
assam,sivasagar,March 2025,0,0,0
assam,sonitpur,March 2025,10,28,43
assam,south salmara mancachar,March 2025,0,0,0
assam,sribhumi,March 2025,0,0,0
assam,tamulpur,March 2025,0,0,0
assam,tinsukia,March 2025,84,170,101
assam,udalguri,March 2025,10,46,34
assam,west karbi anglong,March 2025,0,0,0
bihar,araria,March 2025,0,0,0
bihar,arwal,March 2025,0,0,0
bihar,aurangabad,March 2025,0,0,0
bihar,banka,March 2025,0,0,0
bihar,begusarai,March 2025,0,0,0
bihar,bhagalpur,March 2025,13,40,18
bihar,bhojpur,March 2025,0,0,0
bihar,buxar,March 2025,0,0,0
bihar,darbhanga,March 2025,0,0,0
bihar,gaya,March 2025,0,0,0
bihar,gopalganj,March 2025,0,0,0
bihar,jamui,March 2025,0,0,0
bihar,jehanabad,March 2025,0,0,0
bihar,kaimur bhabua,March 2025,0,0,0
bihar,katihar,March 2025,0,0,0
bihar,khagaria,March 2025,0,0,0
bihar,kishanganj,March 2025,0,0,0
bihar,lakhisarai,March 2025,0,0,0
bihar,madhepura,March 2025,0,0,0
bihar,madhubani,March 2025,46,235,49
bihar,munger,March 2025,0,0,0
bihar,muzaffarpur,March 2025,24,40,10
bihar,nalanda,March 2025,0,0,0
bihar,nawada,March 2025,0,0,0
bihar,pashchim champaran,March 2025,25,88,13
bihar,patna,March 2025,12,52,16
bihar,purbi champaran,March 2025,60,241,35
bihar,purnia,March 2025,0,0,0
bihar,rohtas,March 2025,0,0,0
bihar,saharsa,March 2025,0,0,0
bihar,samastipur,March 2025,0,0,0
bihar,saran,March 2025,0,0,0
bihar,sheikhpura,March 2025,0,0,0
bihar,sheohar,March 2025,0,0,0
bihar,sitamarhi,March 2025,336,696,303
bihar,siwan,March 2025,0,0,0
bihar,supaul,March 2025,0,0,0
bihar,vaishali,March 2025,0,0,0
chandigarh,chandigarh,March 2025,0,0,0
chhattisgarh,balod,March 2025,0,0,0
chhattisgarh,balodabazar bhatapara,March 2025,0,0,0
chhattisgarh,balrampur ramanujganj,March 2025,0,0,0
chhattisgarh,bastar,March 2025,0,0,0
chhattisgarh,bemetara,March 2025,0,0,0
chhattisgarh,bijapur,March 2025,66,31,63
chhattisgarh,bilaspur,March 2025,0,0,0
chhattisgarh,dakshin bastar dantewada,March 2025,0,0,0
chhattisgarh,dhamtari,March 2025,0,0,0
chhattisgarh,durg,March 2025,0,0,0
chhattisgarh,gariyaband,March 2025,0,0,0
chhattisgarh,gaurela pendra marwahi,March 2025,0,0,0
chhattisgarh,janjgir champa,March 2025,0,0,0
chhattisgarh,jashpur,March 2025,0,0,0
chhattisgarh,kabeerdham,March 2025,0,0,0
chhattisgarh,khairagarh chhuikhadan gandai,March 2025,0,0,0
chhattisgarh,kondagaon,March 2025,0,0,0
chhattisgarh,korba,March 2025,0,0,0
chhattisgarh,korea,March 2025,0,0,0
chhattisgarh,mahasamund,March 2025,0,0,0
chhattisgarh,manendragarh chirmiri bharatpur m c b,March 2025,0,0,0
chhattisgarh,mohla manpur ambagarh chouki,March 2025,0,0,0
chhattisgarh,mungeli,March 2025,0,0,0
chhattisgarh,narayanpur,March 2025,0,0,0
chhattisgarh,raigarh,March 2025,0,0,0
chhattisgarh,raipur,March 2025,49,15,36
chhattisgarh,rajnandgaon,March 2025,0,0,0
chhattisgarh,sakti,March 2025,0,0,0
chhattisgarh,sarangarh bilaigarh,March 2025,0,0,0
chhattisgarh,sukma,March 2025,0,0,0
chhattisgarh,surajpur,March 2025,0,0,0
chhattisgarh,surguja,March 2025,0,0,0
chhattisgarh,uttar bastar kanker,March 2025,0,0,0
delhi,central,March 2025,0,0,0
delhi,east,March 2025,0,0,0
delhi,new delhi,March 2025,0,0,0
delhi,north,March 2025,0,0,0
delhi,north east,March 2025,0,0,0
delhi,north west,March 2025,0,0,0
delhi,shahdara,March 2025,0,0,0
delhi,south,March 2025,0,0,0
delhi,south east,March 2025,0,0,0
delhi,south west,March 2025,0,0,0
delhi,west,March 2025,0,0,0
goa,north goa,March 2025,0,0,0
goa,south goa,March 2025,0,0,0
gujarat,ahmedabad,March 2025,0,0,0
gujarat,amreli,March 2025,0,0,0
gujarat,anand,March 2025,0,0,0
gujarat,arvalli,March 2025,0,0,0
gujarat,banas kantha,March 2025,408,223,175
gujarat,bharuch,March 2025,0,0,0
gujarat,bhavnagar,March 2025,0,0,0
gujarat,botad,March 2025,0,0,0
gujarat,chhotaudepur,March 2025,0,0,0
