state_norm,district_standard,district_lgd_code
andaman and nicobar islands,nicobars,603
andaman and nicobar islands,north and middle andaman,632
andaman and nicobar islands,south andamans,602
andhra pradesh,alluri sitharama raju,745
andhra pradesh,anakapalli,744
andhra pradesh,ananthapuramu,502
andhra pradesh,annamayya,753
andhra pradesh,bapatla,750
andhra pradesh,chittoor,503
andhra pradesh,dr b r ambedkar konaseema,747
andhra pradesh,east godavari,505
andhra pradesh,eluru,748
andhra pradesh,guntur,506
andhra pradesh,kakinada,746
andhra pradesh,krishna,510
andhra pradesh,kurnool,511
andhra pradesh,nandyal,755
andhra pradesh,ntr,749
andhra pradesh,palnadu,751
andhra pradesh,parvathipuram manyam,743
andhra pradesh,prakasam,517
andhra pradesh,srikakulam,519
andhra pradesh,sri potti sriramulu nellore,515
andhra pradesh,sri sathya sai,754
andhra pradesh,tirupati,752
andhra pradesh,visakhapatnam,520
andhra pradesh,vizianagaram,521
andhra pradesh,west godavari,523
andhra pradesh,y s r kadapa,504
arunachal pradesh,anjaw,628
arunachal pradesh,bichom,787
arunachal pradesh,changlang,229
arunachal pradesh,dibang valley,230
arunachal pradesh,east kameng,231
arunachal pradesh,east siang,232
arunachal pradesh,kamle,718
arunachal pradesh,keyi panyor,786
arunachal pradesh,kra daadi,677
arunachal pradesh,kurung kumey,233
arunachal pradesh,leparada,724
arunachal pradesh,lohit,234
arunachal pradesh,longding,666
arunachal pradesh,lower dibang valley,235
arunachal pradesh,lower siang,719
arunachal pradesh,lower subansiri,236
arunachal pradesh,namsai,678
arunachal pradesh,pakke kessang,723
arunachal pradesh,papum pare,237
arunachal pradesh,shi yomi,725
arunachal pradesh,siang,679
arunachal pradesh,tawang,238
arunachal pradesh,tirap,239
arunachal pradesh,upper siang,240
arunachal pradesh,upper subansiri,241
arunachal pradesh,west kameng,242
arunachal pradesh,west siang,243
assam,bajali,739
assam,baksa,616
assam,barpeta,280
assam,biswanath,705
assam,bongaigaon,281
assam,cachar,282
assam,charaideo,708
assam,chirang,612
assam,darrang,283
assam,dhemaji,284
assam,dhubri,285
assam,dibrugarh,286
assam,dima hasao,299
assam,goalpara,287
assam,golaghat,288
assam,hailakandi,289
assam,hojai,709
assam,jorhat,290
assam,kamrup,291
assam,kamrup metro,618
assam,karbi anglong,292
assam,kokrajhar,294
assam,lakhimpur,295
assam,majuli,706
assam,marigaon,296
assam,nagaon,297
assam,nalbari,298
assam,sivasagar,300
chhattisgarh,mahasamund,385
assam,sonitpur,301
assam,south salmara mancachar,707
assam,sribhumi,293
assam,tamulpur,756
assam,tinsukia,302
assam,udalguri,617
assam,west karbi anglong,710
bihar,araria,188
bihar,arwal,611
bihar,aurangabad,189
bihar,banka,190
bihar,begusarai,191
bihar,bhagalpur,192
bihar,bhojpur,193
bihar,buxar,194
bihar,darbhanga,195
bihar,gaya,196
bihar,gopalganj,197
bihar,jamui,198
bihar,jehanabad,199
bihar,kaimur bhabua,200
bihar,katihar,201
bihar,khagaria,202
bihar,kishanganj,203
bihar,lakhisarai,204
bihar,madhepura,205
bihar,madhubani,206
bihar,munger,207
bihar,muzaffarpur,208
bihar,nalanda,209
bihar,nawada,210
bihar,pashchim champaran,211
bihar,patna,212
bihar,purbi champaran,213
bihar,purnia,214
bihar,rohtas,215
bihar,saharsa,216
bihar,samastipur,217
bihar,saran,218
bihar,sheikhpura,219
bihar,sheohar,220
bihar,sitamarhi,221
bihar,siwan,222
bihar,supaul,223
bihar,vaishali,224
chandigarh,chandigarh,44
chhattisgarh,balod,646
chhattisgarh,balodabazar bhatapara,644
chhattisgarh,balrampur ramanujganj,649
chhattisgarh,bastar,374
chhattisgarh,bemetara,650
chhattisgarh,bijapur,636
chhattisgarh,bilaspur,375
chhattisgarh,dakshin bastar dantewada,376
chhattisgarh,dhamtari,377
chhattisgarh,durg,378
chhattisgarh,gariyaband,645
chhattisgarh,gaurela pendra marwahi,734
chhattisgarh,janjgir champa,379
chhattisgarh,jashpur,380
chhattisgarh,kabeerdham,382
chhattisgarh,khairagarh chhuikhadan gandai,759
chhattisgarh,kondagaon,643
chhattisgarh,korba,383
chhattisgarh,korea,384
chhattisgarh,manendragarh chirmiri bharatpur m c b,760
chhattisgarh,mohla manpur ambagarh chouki,761
chhattisgarh,mungeli,647
chhattisgarh,narayanpur,637
chhattisgarh,raigarh,386
chhattisgarh,raipur,387
chhattisgarh,rajnandgaon,388
chhattisgarh,sakti,762
chhattisgarh,sarangarh bilaigarh,763
chhattisgarh,sukma,642
chhattisgarh,surajpur,648
chhattisgarh,surguja,389
chhattisgarh,uttar bastar kanker,381
delhi,central,77
delhi,east,78
delhi,new delhi,79
delhi,north,80
delhi,north east,81
delhi,north west,82
delhi,shahdara,671
delhi,south,83
delhi,south east,670
delhi,south west,84
delhi,west,85
goa,north goa,551
goa,south goa,552
gujarat,ahmedabad,438
gujarat,amreli,439
gujarat,anand,440
gujarat,arvalli,672
gujarat,banas kantha,441
gujarat,bharuch,442
gujarat,bhavnagar,443
gujarat,botad,676
gujarat,chhotaudepur,668
gujarat,dahod,445
gujarat,dangs,444
gujarat,devbhumi dwarka,674
gujarat,gandhinagar,446
gujarat,gir somnath,675
gujarat,jamnagar,447
gujarat,junagadh,448
gujarat,kachchh,449
gujarat,kheda,450
gujarat,mahesana,451
gujarat,mahisagar,669
gujarat,morbi,673
gujarat,narmada,452
gujarat,navsari,453
gujarat,panch mahals,454
gujarat,patan,455
gujarat,porbandar,456
gujarat,rajkot,457
gujarat,sabar kantha,458
gujarat,surat,459
gujarat,surendranagar,460
gujarat,tapi,641
gujarat,vadodara,461
gujarat,valsad,462
gujarat,vav tharad,789
haryana,ambala,58
haryana,bhiwani,59
haryana,charkhi dadri,701
haryana,faridabad,60
haryana,fatehabad,61
haryana,gurugram,62
haryana,hisar,63
haryana,jhajjar,64
haryana,jind,65
haryana,kaithal,66
haryana,karnal,67
haryana,kurukshetra,68
haryana,mahendragarh,69
haryana,nuh,604
haryana,palwal,619
haryana,panchkula,70
haryana,panipat,71
haryana,rewari,72
haryana,rohtak,73
haryana,sirsa,74
haryana,sonipat,75
haryana,yamunanagar,76
himachal pradesh,bilaspur,15
himachal pradesh,chamba,16
himachal pradesh,hamirpur,17
himachal pradesh,kangra,18
himachal pradesh,kinnaur,19
himachal pradesh,kullu,20
himachal pradesh,lahaul and spiti,21
himachal pradesh,mandi,22
himachal pradesh,shimla,23
himachal pradesh,sirmaur,24
himachal pradesh,solan,25
himachal pradesh,una,26
jammu and kashmir,anantnag,1
jammu and kashmir,bandipora,623
jammu and kashmir,baramulla,3
jammu and kashmir,budgam,2
