S No,State Code,State Name,District LGD Code,District Name (In English)
1,35,Andaman And Nicobar Islands(State),603,Nicobars
2,35,Andaman And Nicobar Islands(State),632,North And Middle Andaman
3,35,Andaman And Nicobar Islands(State),602,South Andamans
4,28,Andhra Pradesh(State),745,Alluri Sitharama Raju
5,28,Andhra Pradesh(State),744,Anakapalli
6,28,Andhra Pradesh(State),502,Ananthapuramu
7,28,Andhra Pradesh(State),753,Annamayya
8,28,Andhra Pradesh(State),750,Bapatla
9,28,Andhra Pradesh(State),503,Chittoor
10,28,Andhra Pradesh(State),747,Dr. B.R. Ambedkar Konaseema
11,28,Andhra Pradesh(State),505,East Godavari
12,28,Andhra Pradesh(State),748,Eluru
13,28,Andhra Pradesh(State),506,Guntur
14,28,Andhra Pradesh(State),746,Kakinada
15,28,Andhra Pradesh(State),510,Krishna
16,28,Andhra Pradesh(State),511,Kurnool
17,28,Andhra Pradesh(State),755,Nandyal
18,28,Andhra Pradesh(State),749,Ntr
19,28,Andhra Pradesh(State),751,Palnadu
20,28,Andhra Pradesh(State),743,Parvathipuram Manyam
21,28,Andhra Pradesh(State),517,Prakasam
22,28,Andhra Pradesh(State),519,Srikakulam
23,28,Andhra Pradesh(State),515,Sri Potti Sriramulu Nellore
24,28,Andhra Pradesh(State),754,Sri Sathya Sai
25,28,Andhra Pradesh(State),752,Tirupati
26,28,Andhra Pradesh(State),520,Visakhapatnam
27,28,Andhra Pradesh(State),521,Vizianagaram
28,28,Andhra Pradesh(State),523,West Godavari
29,28,Andhra Pradesh(State),504,Y.S.R. Kadapa
30,12,Arunachal Pradesh(State),628,Anjaw
31,12,Arunachal Pradesh(State),787,Bichom
32,12,Arunachal Pradesh(State),229,Changlang
33,12,Arunachal Pradesh(State),230,Dibang Valley
34,12,Arunachal Pradesh(State),231,East Kameng
35,12,Arunachal Pradesh(State),232,East Siang
36,12,Arunachal Pradesh(State),718,Kamle
37,12,Arunachal Pradesh(State),786,Keyi Panyor
38,12,Arunachal Pradesh(State),677,Kra Daadi
39,12,Arunachal Pradesh(State),233,Kurung Kumey
40,12,Arunachal Pradesh(State),724,Leparada
41,12,Arunachal Pradesh(State),234,Lohit
42,12,Arunachal Pradesh(State),666,Longding
43,12,Arunachal Pradesh(State),235,Lower Dibang Valley
44,12,Arunachal Pradesh(State),719,Lower Siang
45,12,Arunachal Pradesh(State),236,Lower Subansiri
46,12,Arunachal Pradesh(State),678,Namsai
47,12,Arunachal Pradesh(State),723,Pakke Kessang
48,12,Arunachal Pradesh(State),237,Papum Pare
49,12,Arunachal Pradesh(State),725,Shi Yomi
50,12,Arunachal Pradesh(State),679,Siang
51,12,Arunachal Pradesh(State),238,Tawang
52,12,Arunachal Pradesh(State),239,Tirap
53,12,Arunachal Pradesh(State),240,Upper Siang
54,12,Arunachal Pradesh(State),241,Upper Subansiri
55,12,Arunachal Pradesh(State),242,West Kameng
56,12,Arunachal Pradesh(State),243,West Siang
57,18,Assam(State),739,Bajali
58,18,Assam(State),616,Baksa
59,18,Assam(State),280,Barpeta
60,18,Assam(State),705,Biswanath
61,18,Assam(State),281,Bongaigaon
62,18,Assam(State),282,Cachar
63,18,Assam(State),708,Charaideo
64,18,Assam(State),612,Chirang
65,18,Assam(State),283,Darrang
66,18,Assam(State),284,Dhemaji
67,18,Assam(State),285,Dhubri
68,18,Assam(State),286,Dibrugarh
69,18,Assam(State),299,Dima Hasao
70,18,Assam(State),287,Goalpara
71,18,Assam(State),288,Golaghat
72,18,Assam(State),289,Hailakandi
73,18,Assam(State),709,Hojai
74,18,Assam(State),290,Jorhat
75,18,Assam(State),291,Kamrup
76,18,Assam(State),618,Kamrup Metro
77,18,Assam(State),292,Karbi Anglong
78,18,Assam(State),294,Kokrajhar
79,18,Assam(State),295,Lakhimpur
80,18,Assam(State),706,Majuli
81,18,Assam(State),296,Marigaon
82,18,Assam(State),297,Nagaon
83,18,Assam(State),298,Nalbari
84,18,Assam(State),300,Sivasagar
85,22,Chhattisgarh(State),385,Mahasamund
86,18,Assam(State),301,Sonitpur
87,18,Assam(State),707,South Salmara Mancachar
88,18,Assam(State),293,Sribhumi
89,18,Assam(State),756,Tamulpur
90,18,Assam(State),302,Tinsukia
91,18,Assam(State),617,Udalguri
92,18,Assam(State),710,West Karbi Anglong
93,10,Bihar(State),188,Araria
94,10,Bihar(State),611,Arwal
95,10,Bihar(State),189,Aurangabad
96,10,Bihar(State),190,Banka
97,10,Bihar(State),191,Begusarai
98,10,Bihar(State),192,Bhagalpur
99,10,Bihar(State),193,Bhojpur
100,10,Bihar(State),194,Buxar
101,10,Bihar(State),195,Darbhanga
102,10,Bihar(State),196,Gaya
103,10,Bihar(State),197,Gopalganj
104,10,Bihar(State),198,Jamui
105,10,Bihar(State),199,Jehanabad
106,10,Bihar(State),200,Kaimur (Bhabua)
107,10,Bihar(State),201,Katihar
108,10,Bihar(State),202,Khagaria
109,10,Bihar(State),203,Kishanganj
110,10,Bihar(State),204,Lakhisarai
111,10,Bihar(State),205,Madhepura
112,10,Bihar(State),206,Madhubani
113,10,Bihar(State),207,Munger
114,10,Bihar(State),208,Muzaffarpur
115,10,Bihar(State),209,Nalanda
116,10,Bihar(State),210,Nawada
117,10,Bihar(State),211,Pashchim Champaran
118,10,Bihar(State),212,Patna
